candidate_id,preferred_domain,skills,num_skills,experience_years,education,has_certification
C0001,Healthcare IT,"HIPAA Compliance, HL7, Java, Python, SQL",5,4.8,B.Tech,1
C0002,Mobile Development,"Flutter, Java, Objective-C",3,0.5,B.Tech,0
C0003,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,1.2,B.Tech,1
C0004,Banking/Fintech Software,"Java, REST APIs, SQL",3,10.5,B.Sc,0
C0005,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,14.6,BCA,1
C0006,Web Development,"JavaScript, Node.js, React",3,1.7,B.Tech,1
C0007,Cloud & DevOps,"Azure, Docker, Linux, Terraform",4,0.1,Diploma,0
C0008,Web Development,"CSS, HTML, JavaScript, React",4,4.6,B.Tech,0
C0009,Cloud & DevOps,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",6,1.9,B.Sc,1
C0010,Data & ML,"Machine Learning, Python, TensorFlow",3,0.2,Diploma,1
C0011,Healthcare IT,"FHIR, HIPAA Compliance, Java, SQL",4,1.5,B.Tech,0
C0012,Web Development,"CSS, Django, HTML, JavaScript, Node.js, React",6,1.7,B.Tech,0
C0013,Web Development,"CSS, Django, JavaScript, PHP, React",5,0.6,B.Tech,0
C0014,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes, Linux",6,1.1,M.Tech,0
C0015,Banking/Fintech Software,"Core Banking Systems, REST APIs, SQL, Spring Boot",4,0.1,B.Sc,0
C0016,Cloud & DevOps,"Azure, CI/CD, Linux, Terraform",4,6.8,BCA,1
C0017,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,2.5,M.Tech,1
C0018,Cloud & DevOps,"AWS, Azure, CI/CD",3,1.5,B.Tech,1
C0019,Healthcare IT,"FHIR, Java, Python, SQL",4,10.1,BCA,0
C0020,Healthcare IT,"FHIR, Python, SQL",3,4.9,B.Tech,1
C0021,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,1.5,B.Tech,0
C0022,Cloud & DevOps,"AWS, Azure, CI/CD, Kubernetes, Linux",5,3.7,MCA,1
C0023,Web Development,"CSS, Django, Node.js",3,7.8,BCA,1
C0024,Mobile Development,"Flutter, Kotlin, Objective-C",3,2.9,B.Tech,0
C0025,Data & ML,"Excel, Machine Learning, Pandas, Power BI, TensorFlow",5,3.3,BCA,0
C0026,Web Development,"Angular, CSS, JavaScript, Node.js",4,6.5,M.Tech,0
C0027,Healthcare IT,"FHIR, HIPAA Compliance, HL7, SQL",4,5.7,MCA,0
C0028,Mobile Development,"Flutter, Kotlin, Objective-C, Swift",4,2.0,M.Tech,0
C0029,Mobile Development,"Flutter, Java, Kotlin, Swift",4,1.7,B.Tech,1
C0030,Banking/Fintech Software,"Java, REST APIs, Spring Boot",3,1.1,M.Tech,1
C0031,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Linux",5,2.8,M.Tech,0
C0032,Cloud & DevOps,"AWS, Kubernetes, Terraform",3,0.2,B.Tech,0
C0033,Cloud & DevOps,"AWS, Azure, Docker, Linux",4,2.9,B.Tech,0
C0034,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,4.9,B.Tech,1
C0035,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,1.2,B.Tech,0
C0036,Cloud & DevOps,"Azure, CI/CD, Kubernetes, Linux",4,0.3,B.Tech,0
C0037,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot, Terraform",6,1.3,B.Tech,0
C0038,Data & ML,"Excel, Power BI, Python, SQL, TensorFlow",5,1.6,B.Tech,0
C0039,Web Development,"Angular, CSS, HTML, JavaScript, PHP, React",6,0.8,B.Tech,0
C0040,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,3.6,B.Tech,1
C0041,Banking/Fintech Software,"Core Banking Systems, Excel, Java, REST APIs, SQL, Spring Boot",6,0.9,BCA,1
