candidate_id,job_id,skill_match_ratio,experience_gap,same_domain,has_certification,placed,days_to_place
C0001,J0104,0.25,3.8,0,1,1,28.0
C0001,J0123,0.4,-0.2,0,1,0,
C0002,J0071,0.2,-1.5,0,0,0,
C0002,J0147,0.0,0.0,0,0,0,
C0002,J0111,0.5,-1.5,1,0,0,
C0003,J0033,0.5,-3.8,0,1,0,
C0003,J0072,0.33,-0.8,0,1,0,
C0004,J0045,0.0,7.5,0,0,0,
C0004,J0009,0.2,3.5,0,0,1,20.0
C0004,J0067,0.0,9.5,0,0,1,26.0
C0005,J0106,0.2,9.6,0,1,0,
C0005,J0001,1.0,11.6,1,1,1,19.0
C0006,J0119,0.0,0.7,0,1,0,
C0006,J0125,0.0,0.7,0,1,0,
C0006,J0126,0.0,-0.3,0,1,0,
C0006,J0047,0.0,-0.3,0,1,0,
C0007,J0007,0.0,-0.9,0,0,1,21.0
C0007,J0082,0.0,-2.9,0,0,0,
C0008,J0054,0.6,-0.4,1,0,1,18.0
C0008,J0094,0.0,4.1,0,0,0,
C0008,J0051,0.0,4.1,0,0,1,34.0
C0009,J0033,0.0,-3.1,0,1,0,
C0009,J0121,0.0,1.4,0,1,0,
C0010,J0114,0.0,-1.8,0,1,0,
C0010,J0091,0.0,-6.8,0,1,0,
C0010,J0150,0.0,-0.8,0,1,0,
C0011,J0087,0.2,-1.5,0,0,0,
C0011,J0024,1.0,-1.5,1,0,1,29.0
C0011,J0031,0.8,-0.5,1,0,0,
C0011,J0150,0.33,0.5,0,0,0,
C0012,J0139,0.6,0.7,1,0,1,8.0
C0012,J0148,0.0,-0.3,0,0,0,
C0012,J0031,0.0,-0.3,0,0,0,
C0013,J0005,0.0,-4.4,0,0,0,
C0013,J0010,0.0,-2.4,0,0,0,
C0014,J0043,0.0,-5.9,0,0,0,
C0014,J0001,0.0,-1.9,0,0,0,
C0014,J0075,0.0,0.1,0,0,0,
C0015,J0125,0.0,-0.9,0,0,1,31.0
C0015,J0092,0.0,-2.9,0,0,0,
C0016,J0135,0.0,6.3,0,1,1,32.0
C0016,J0008,0.0,3.8,0,1,0,
C0016,J0142,0.0,5.8,0,1,1,34.0
C0017,J0087,0.2,-0.5,0,1,0,
C0017,J0030,0.33,0.5,0,1,1,23.0
C0018,J0025,0.0,-0.5,0,1,0,
C0018,J0005,0.0,-3.5,0,1,0,
C0018,J0097,0.25,-3.5,1,1,0,
C0018,J0050,0.0,1.0,0,1,0,
C0019,J0062,0.0,8.1,0,0,0,
C0019,J0001,0.2,7.1,0,0,0,
C0019,J0120,0.25,7.1,0,0,0,
C0020,J0004,0.25,-2.1,0,1,0,
C0020,J0002,0.67,-2.1,1,1,0,
C0021,J0011,1.0,-0.5,1,0,0,
C0021,J0110,0.0,-0.5,0,0,0,
C0022,J0026,0.0,3.2,0,1,0,
C0022,J0115,0.0,-3.3,0,1,0,
C0023,J0042,0.0,6.8,0,1,0,
C0023,J0018,0.0,7.3,0,1,0,
C0023,J0032,0.0,6.8,0,1,0,
C0023,J0024,0.0,4.8,0,1,0,
C0024,J0034,0.0,0.9,0,0,0,
C0024,J0006,0.0,-0.1,0,0,0,
C0024,J0134,0.0,-0.1,0,0,0,
C0025,J0149,0.0,0.3,0,0,0,
C0025,J0146,0.0,2.8,0,0,0,
C0025,J0084,0.0,1.3,0,0,0,
C0025,J0088,0.67,1.3,1,0,1,24.0
C0026,J0107,0.0,3.5,0,0,0,
C0026,J0131,0.0,4.5,0,0,1,23.0
C0026,J0061,0.0,6.0,0,0,0,
C0027,J0048,0.0,3.7,0,0,0,
C0027,J0135,0.8,5.2,1,0,1,18.0
C0028,J0085,0.0,0.0,0,0,0,
C0028,J0097,0.0,-3.0,0,0,1,22.0
C0028,J0052,0.75,-5.0,1,0,0,
C0028,J0003,0.6,1.0,1,0,0,
C0029,J0059,0.2,1.2,0,1,0,
C0029,J0023,0.0,-0.3,0,1,0,
C0029,J0099,0.0,0.7,0,1,0,
C0029,J0018,0.2,1.2,0,1,1,25.0
C0030,J0110,0.0,-0.9,0,1,0,
C0030,J0021,0.0,0.1,0,1,1,22.0
C0031,J0060,0.0,-4.2,0,0,0,
C0031,J0065,0.0,-4.2,0,0,0,
C0032,J0009,0.0,-6.8,0,0,0,
C0032,J0132,0.0,-0.8,0,0,0,
C0033,J0054,0.0,-2.1,0,0,0,
C0033,J0038,0.0,1.9,0,0,0,
C0033,J0003,0.0,1.9,0,0,1,27.0
C0034,J0062,0.0,2.9,0,1,1,37.0
C0034,J0027,0.0,-2.1,0,1,0,
C0034,J0005,0.33,-0.1,0,1,0,
C0035,J0006,0.0,-1.8,0,0,0,
C0035,J0050,1.0,0.7,1,0,1,10.0
C0036,J0134,0.6,-2.7,1,0,0,
C0036,J0067,0.0,-0.7,0,0,0,
C0037,J0103,0.0,0.3,0,0,0,
C0037,J0140,1.0,-1.7,1,0,1,9.0
C0037,J0144,0.0,0.8,0,0,1,30.0
C0037,J0081,0.2,-0.7,0,0,0,
C0038,J0080,0.0,1.1,0,0,0,
C0038,J0023,1.0,-0.4,1,0,1,13.0
C0039,J0139,0.8,-0.2,1,0,1,20.0
C0039,J0113,0.0,-1.2,0,0,0,
C0040,J0127,0.25,2.6,0,1,0,
C0040,J0058,0.0,-1.4,0,1,0,
